Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Howard, Pearce",1000025678,Left,OGD_RAP,Undefined,2,Bottom,2,0,0,Changeup,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.14549,0.895378,-0.86947,1274.601419,269.330534,3:00,6.04314,0.62428,5.6155,-42.37242,1.4698,10.84524,3.34792,0.71653,73.61962,-6.877927,1.068779,0.47656,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Cone, Jack",1000258940,Left,OGD_RAP,Undefined,1,Bottom,0,0,0,Changeup,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.53713,-0.547708,-2.117962,1181.478309,255.552091,2:30,6.03504,0.65474,6.01013,-40.0962,3.51181,8.75067,2.18594,-0.579,73.69355,-7.931018,-0.54242,0.475285,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,3,Bottom,0,2,2,Changeup,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,79.73103,0.207378,-0.916159,1212.103803,241.549623,2:00,5.97462,0.50921,5.96936,-39.38073,3.59591,4.61933,2.88518,0.0447,74.50717,-7.02847,-0.084997,0.471832,103.46322,3.232127,-21.874773,1490.980706,,,,80.45107,80.45107,-20.323773,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,0,2,2,Changeup,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.08111,-1.76306,-1.77076,1317.835244,256.047489,2:30,6.00821,0.636,5.77558,-38.65226,3.64902,9.83993,1.14538,-0.19221,75.36482,-8.827103,-0.005109,0.46811,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Cone, Jack",1000258940,Left,OGD_RAP,Undefined,2,Bottom,2,1,0,Cutter,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.15021,-2.6085,-3.562104,2058.025797,145.16927,10:45,5.78602,0.73675,5.98439,-33.83966,4.0876,-2.1615,0.54202,-2.74916,79.7602,-8.78144,-3.950122,0.443248,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Cone, Jack",1000258940,Left,OGD_RAP,Undefined,1,Bottom,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.9174,-2.660307,-2.970215,2249.726468,129.060453,10:15,5.70539,0.97864,5.84423,-33.44407,5.03485,-4.90918,0.44108,-2.19313,79.19642,-8.759133,-3.849979,0.44646,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Howard, Pearce",1000025678,Left,OGD_RAP,Undefined,1,Bottom,2,0,0,Changeup,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.81977,-0.889896,-1.434375,1342.486096,244.107056,2:15,6.01542,0.56631,5.76694,-37.216,5.36319,8.5315,2.08558,-0.05789,74.90348,-7.720191,0.095279,0.469645,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Howard, Pearce",1000025678,Left,OGD_RAP,Undefined,1,Bottom,2,0,1,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.07833,-0.375499,-0.821853,2222.608685,204.924666,12:45,5.7699,0.93121,5.75616,-31.19553,5.47555,2.05854,2.82071,0.3377,80.46741,-6.120411,-0.45302,0.435846,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Howard, Pearce",1000025678,Left,OGD_RAP,Undefined,2,Bottom,2,1,0,Changeup,Splitter,InPlay,Undefined,FlyBall,Double,0,0,,80.2714,0.028764,-0.330845,1198.127289,240.155955,2:00,5.99762,0.61702,5.93314,-37.71746,5.49784,7.24237,2.88119,0.91361,73.70691,-6.949684,0.971506,0.473141,91.89071,30.302458,-30.806767,5185.493356,90.12582,55.5202,-63.06512,327.2143,311.01401,-41.48333,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Cone, Jack",1000258940,Left,OGD_RAP,Undefined,1,Bottom,0,1,1,Changeup,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.81948,-0.446646,-1.576032,1328.111603,250.232499,2:15,6.03069,0.71209,5.73816,-36.87774,5.8389,12.7517,2.54149,0.30685,74.65701,-7.227576,0.708299,0.470403,,,,,,,,,,,,,,,,,,,
